id,cloudinaryPublicId,Image URL,filename,sourceUrl,attribution,aiMake,aiModel,aiYear,aiBodyStyle,aiConfidence,aiTaggedAt,adminMake,adminModel,adminYear,adminTrim,adminBodyStyle,adminNotes,reviewedAt,confirmedMake,confirmedModel,confirmedYear,confirmedTrim,status,submittedBy,createdAt,adminCategories,adminEra,adminIsHardcoreEligible,adminRarity,adminRegionSlug,adminCountryOfOrigin,adminCopyrightHolder,adminIsCropped,adminIsLogoVisible,adminIsModelNameVisible,adminHasMultipleVehicles,adminIsFaceVisible,adminIsVehicleUnmodified
cmnlt4m8900urhr0ygnbj0up6,autoguessr/staging/69071493_1775396316057,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69071493_1775396316057,69071493.jpg,,,Toyota,MR2,1994,Coupe,0.95,2026-04-14 09:00:00,,,,,,,2026-04-07 09:15:21.503,,,,,PENDING_REVIEW,,2026-04-05 13:38:37.833,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlseo7700guhr0y4jwp3ehe,autoguessr/staging/31363821_1775395105774,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/31363821_1775395105774,31363821.jpg,,,,,,,,,,,,,,,2026-04-07 09:09:01.59,,,,,PENDING_REVIEW,,2026-04-05 13:18:27.331,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt6wv800w2hr0yqlgbp83v,autoguessr/staging/70829135_1775396423551,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/70829135_1775396423551,70829135.jpg,,,Ford,Mustang,1966,Coupe,0.95,2026-04-14 09:00:00,,,,,,,2026-04-09 16:12:01.593,,,,,REJECTED,,2026-04-05 13:40:24.932,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt4upg00uvhr0ypxbs78dq,autoguessr/staging/69162222_1775396326801,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69162222_1775396326801,69162222.jpg,,,Ford,Mustang,1965,Coupe,0.95,2026-04-14 09:00:00,,,,,,,2026-04-09 15:57:04.956,,,,,REJECTED,,2026-04-05 13:38:48.82,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlsepq500gvhr0ypo8rronw,autoguessr/staging/31375480_1775395107565,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/31375480_1775395107565,31375480.jpg,,,Lamborghini,Aventador LP 750-4 SV,2016,Coupe,1.0,2026-04-14 09:00:00,,,,,,,2026-04-07 09:09:02.332,,,,,PENDING_REVIEW,,2026-04-05 13:18:29.309,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt502600uyhr0y9alqlyrh,autoguessr/staging/69309612_1775396334044,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69309612_1775396334044,69309612.jpg,,,,,,,,,,,,,,,2026-04-07 09:15:27.111,,,,,PENDING_REVIEW,,2026-04-05 13:38:55.758,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt5clv00v2hr0yqkuk3cto,autoguessr/staging/69569638_1775396350535,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69569638_1775396350535,69569638.jpg,,,Tofaş,Murat 124,1974,Sedan,0.95,2026-04-14 09:00:00,,,,,,,2026-04-07 09:15:30.18,,,,,PENDING_REVIEW,,2026-04-05 13:39:12.019,{},,f,,,,Pexels,f,f,f,f,f,t
cmnsdm0uk00007e0ynags3odn,autoguessr/staging/10415290_1775793514869,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/10415290_1775793514869,10415290.jpg,,,Volkswagen,Passat,2003,Sedan,0.95,2026-04-14 09:00:00,,,,,,,,,,,,PENDING_REVIEW,,2026-04-10 03:58:39.308,,,,,,,,,,,,,
cmnlser7m00gwhr0yzmtgy7m3,autoguessr/staging/31419069_1775395109553,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/31419069_1775395109553,31419069.webp,,,,,,,,,,,,,,,2026-04-07 09:09:02.979,,,,,PENDING_REVIEW,,2026-04-05 13:18:31.234,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt5nr400v9hr0y5m2kleme,autoguessr/staging/69830175_1775396364765,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69830175_1775396364765,69830175.jpg,,,Chevrolet,Camaro SS,1969,Convertible,1.0,2026-04-14 09:00:00,,,,,,,2026-04-07 09:15:35.822,,,,,PENDING_REVIEW,,2026-04-05 13:39:26.464,{},,f,,,,Pexels,f,f,f,f,f,t
cmnlt5ivl00v6hr0yqp2l5dnj,autoguessr/staging/69714859_1775396358742,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69714859_1775396358742,69714859.jpg,,,,,,,,,,,,,,,2026-04-09 15:57:10.413,,,,,REJECTED,,2026-04-05 13:39:20.145,{},,f,,,,Pexels,f,f,f,f,f,t
cmnsbb3c80001yz0ycsg6cm7n,autoguessr/staging/10612969_1775789646983,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/10612969_1775789646983,10612969.jpg,,,,,,,,,,,,,,,2026-04-10 04:26:12.193,,,,,REJECTED,,2026-04-10 02:54:10.088,,,,,,,,,,,,,
cmnlt5rxb00vchr0yn9ictt7q,autoguessr/staging/69969397_1775396370069,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/69969397_1775396370069,69969397.webp,,,,,,,,,Fiat,Punto,2002,,hatchback,,2026-04-09 14:09:20.943,,,,,PUBLISHED,,2026-04-05 13:39:31.871,"{compact,europe}",retro,f,common,europe,Italy,Pexels,f,f,f,f,f,t
cmnsbb0rf0000yz0yakcu8q99,autoguessr/staging/10142506_1775789639591,https://res.cloudinary.com/dndmwnmrm/image/upload/autoguessr/staging/10142506_1775789639591,10142506.jpg,,,,,,,,,,,,,,,2026-04-10 04:26:18.989,,,,,REJECTED,,2026-04-10 02:54:06.747,,,,,,,,,,,,,
